配置,融合方法,Accuracy_mean,Accuracy_std,Macro-F1_mean,Macro-F1_std
文本(T),-,0.7853,0.0071,0.7853,0.0063
视觉(V),-,0.6311,0.0263,0.6310,0.0260
音频(A),-,0.7489,0.0211,0.7484,0.0212
T+V,多数投票,0.7067,0.0104,0.7063,0.0109
T+V,加权投票,0.8049,0.0121,0.8046,0.0124
T+V,置信度,0.7067,0.0104,0.7063,0.0109
T+V,MRE,0.8040,0.0106,0.8037,0.0108
T+A,多数投票,0.7636,0.0073,0.7634,0.0072
T+A,加权投票,0.7898,0.0094,0.7893,0.0093
T+A,置信度,0.7636,0.0073,0.7634,0.0072
T+A,MRE,0.7822,0.0146,0.7817,0.0149
V+A,多数投票,0.6822,0.0178,0.6813,0.0171
V+A,加权投票,0.7600,0.0188,0.7596,0.0187
V+A,置信度,0.6822,0.0178,0.6813,0.0171
V+A,MRE,0.7573,0.0200,0.7570,0.0199
T+V+A,多数投票,0.8298,0.0089,0.8297,0.0090
T+V+A,加权投票,0.8578,0.0089,0.8578,0.0090
T+V+A,置信度,0.7356,0.0054,0.7352,0.0058
T+V+A,MRE(本文),0.8582,0.0104,0.8582,0.0105
