missing_rate,method,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
0.00,mre,0.8622,0.0121,0.8620,0.0127
0.00,weighted,0.8680,0.0096,0.8680,0.0099
0.00,confidence,0.7271,0.0089,0.7260,0.0098
0.05,mre,0.8476,0.0073,0.8474,0.0074
0.05,weighted,0.8684,0.0107,0.8682,0.0105
0.05,confidence,0.7493,0.0116,0.7489,0.0114
0.10,mre,0.8582,0.0104,0.8582,0.0105
0.10,weighted,0.8578,0.0089,0.8578,0.0090
0.10,confidence,0.7356,0.0054,0.7352,0.0058
0.20,mre,0.7947,0.0227,0.7940,0.0230
0.20,weighted,0.8209,0.0228,0.8205,0.0232
0.20,confidence,0.7209,0.0194,0.7208,0.0193
0.30,mre,0.7831,0.0073,0.7824,0.0069
0.30,weighted,0.7867,0.0106,0.7861,0.0103
0.30,confidence,0.7160,0.0218,0.7151,0.0216
0.50,mre,0.7187,0.0141,0.7188,0.0136
0.50,weighted,0.7227,0.0162,0.7234,0.0158
0.50,confidence,0.6804,0.0229,0.6805,0.0223
